COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
1066a,"GRUPCOM RETAIL,  S.L.",8005,Barcelona,917,BARCELONA,0457_003,1996687,5/23/14,30260,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1418,ONDAS SYSTEM S.L.,8760,Martorell,917,BARCELONA,0457_003,1996688,5/2/14,R29530,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1446a,LAITEL 32,8210,Barberá del Valles,917,BARCELONA,0457_003,1996689,5/10/14,31780,0.8133,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1457,"ZAITEL 500 , S.L.",8923,Santa Coloma,917,BARCELONA,0457_003,1996690,5/22/14,31056,0.88,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1462,TDC 2000 COMUNCAC GLOBALES SRL,8040,Caldes de Montbui,917,BARCELONA,0457_003,1996691,5/23/14,30550,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1466,"LUALBO, S.L",43007,Tarragona,917,TARRAGONA,0457_003,1996692,5/19/14,33996,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1467,"LUALBO, S.L",43850,CAMBRILS  ,917,TARRAGONA,0457_003,1996693,5/16/14,31708,0.9,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1482,ONDAS SYSTEM S.L.,8720,VILAFRANCA DEL PENEDES,917,BARCELONA,0457_003,1996694,5/6/14,R00050,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1507b,INST. RADIO ELEC JVP S.L.,8024,Barcelona,917,BARCELONA,0457_003,1996695,5/21/14,32708,0.9333,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1511,LAITEL 32,8014,Barcelona,917,BARCELONA,0457_003,1996696,5/23/14,29501,0.8667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1512,GRANOLLERS TELEFONIA S.L.,8172,Sant Cugat del Vallès,917,BARCELONA,0457_003,1996697,5/6/14,34217,0.7467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1524,STAND -- AJ CHANNEL 2013 - ECI PLAZA CATALUÑA,8002,BARCELONA,917,BARCELONA,0457_003,1996699,5/7/14,32406,0.9,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1528,STAND -- AJ CHANNEL 2013 - ECI DIAGONAL,8028,BARCELONA,917,BARCELONA,0457_003,1996700,5/7/14,32406,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
