COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
97,METROMAR,41927,MAIRENA DE ALJARAFE,SGS,SEVILLA,0578_001,2012002,6/10/14,31208,0.8066,CENTROS UNICO MYSTERY (JUN_14)
103,BAHÍA SUR,11100,SAN FERNANDO,SGS,CADIZ,0578_001,2012004,6/12/14,73,0.6288,CENTROS UNICO MYSTERY (JUN_14)
105,LA SIERRA,14012,CÓRDOBA,SGS,CORDOBA,0578_001,2012007,6/9/14,33611,0.7333,CENTROS UNICO MYSTERY (JUN_14)
2813,Diagonal Mar,8019,Barcelona,SGS,BARCELONA,0143_010,2012018,6/14/14,31011,0.916,Cuestionario POLLO CAMPERO
8,"LAS ARTES, 4-6",33402,AVILES,SGS,ASTURIAS,0266_001,2012024,6/5/14,r02743,0,check IFA
A-BA71,ADIDAS – T3 Planta 1 Salidas Zona Embarque E,28000,Madrid,SGS,MADRID,0201_001,2012026,6/6/14,R00028,0.01,Areas Compra Programada_Abril_2012
A-BA97,Santa Gloria,28000,Barajas,SGS,MADRID,0201_001,2012027,6/6/14,R00031,0.01,Areas Compra Programada_Abril_2012
MAD5,MADRID 5,28042,Barajas,SGS,MADRID,0263_001,2012029,6/6/14,R00028,0.8196,Cuestionario Crystal Octubre 2012
A-BA30,Rodilla/  A-BA30,28000,Madrid,SGS,MADRID,0201_001,2012030,6/6/14,R00031,0.01,Areas Compra Programada_Abril_2012
A-BA22,Eating point/  A-BA22,28000,Madrid,SGS,MADRID,0201_001,2012031,6/6/14,R00031,0.01,Areas Compra Programada_Abril_2012
A-BA69,Sibarium T2 Planta 1 Salidas Zona Embarque D.,28000,Madrid,SGS,MADRID,0201_001,2012032,6/6/14,R00031,0.01,Areas Compra Programada_Abril_2012
A-BA99,Lavazza,28000,Barajas,SGS,MADRID,0201_001,2012033,6/6/14,R00031,0.01,Areas Compra Programada_Abril_2012
638,GA.PO.AV VIGO,36002,PONTEVEDRA,SGS,PONTEVEDRA,0045_001,2012041,6/13/14,33108,0.806,Cuestionario Gadis nuevas ponderaciones
A-BA30,Rodilla/  A-BA30,28000,Madrid,SGS,MADRID,0201_001,2012057,6/5/14,1120,0.01,Areas Compra Programada_Abril_2012
T001131,LOS CRISTIANOS,38640,LOS CRISTIANOS,SGS,SANTA CRUZ DE TENERIFE,0010_005,2012058,6/13/14,66844,0.85,Cuestionario Burger King Zena (0114)
913,913,8226,TERRASSA,SGS,BARCELONA,0197_002,2012059,6/6/14,30579,0.8667,DIA SABADELL COMPRA PROGRAMADA
1144,INTERNITY (AVENIR TELECOM S.A.),19002,GUADALAJARA,SGS,GUADALAJARA,0457_003,2012067,6/9/14,R00031,0.8333,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
267a,STAND -  MEDIA MARKT LA CORUÑA,15000,LA CORUÑA,SGS,A CORUÑA,0457_004,2012085,6/13/14,34273,0.78,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
I001284,FH LAS ROSAS,28032,MADRID,SGS,MADRID,0010_007,2012088,6/15/14,32098,0.952,Cuestionario Foster's Home Delivery (0114)
7,Granada,18004,Granada,SGS,GRANADA,0554_001,2012094,6/11/14,34016,0.7772,Cuestionario VivaGym 1ª VISITA
8,VISITA INMUEBLE,3140,--,SGS,ALICANTE,0599_001,2012096,6/6/14,29418,0.5294,VISITA PRESENCIAL EN EL INMUEBLE
8,VISITA INMUEBLE,3140,--,SGS,ALICANTE,0599_001,2012097,6/6/14,29418,0.1667,SEGUIMIENTO CIERRE
9,VISITA INMUEBLE COMPETENCIA,3140,--,SGS,ALICANTE,0599_001,2012098,6/6/14,29418,0.1765,VISITA PRESENCIAL EN EL INMUEBLE
9,VISITA INMUEBLE COMPETENCIA,3140,--,SGS,ALICANTE,0599_001,2012099,6/6/14,29418,0,SEGUIMIENTO CIERRE
152,ALIMERKA-VILLA-ALEJANDRO CASONA,33211,VILLAVICIOSA,SGS,ASTURIAS,0207_001,2012102,6/11/14,30841,0.961,Check Alimerka Marzo 2012
34,STAND -  ALCAMPO LEGANÉS,28000,LEGANÉS,SGS,MADRID,0457_004,2012104,6/9/14,R02042,0.9333,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
273,STAND -  MEDIA MARKT LEGANES (PARQUESUR),28000,LEGANÉS,SGS,MADRID,0457_004,2012105,6/9/14,R02042,0.9167,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
110,SANTA COLOMA 1,8921,SANTA COLOMA,SGS,BARCELONA,0111_001,2012110,6/12/14,29944,0.933,Cuest  Druni 2014
246,CC LUZ DEL TAJO,45007,TOLEDO,SGS,TOLEDO,0111_001,2012111,6/10/14,R00028,1,Cuest  Druni 2014
4,CONTACTO TELEFONICO API,3140,--,SGS,ALICANTE,0599_001,2012119,6/12/14,29369,0.4465,CONTACTO TELEFONICO
76,STAND -  CARREFOUR ANDUJAR,23000,ANDUJAR,SGS,JAEN,0457_004,2012127,6/12/14,33005,0.9333,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
144,INGENIERIA Y TELEC. JAEN SLU,23740,ANDUJAR,SGS,JAEN,0457_003,2012128,6/12/14,33005,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
1261,INTERNITY (AVENIR TELECOM S.A.),23740,ANDUJAR,SGS,JAEN,0457_003,2012129,6/13/14,33005,0.8833,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
1421,PHONOCENTER SHOP 2006 SL,23100,MANCHA REAL,SGS,JAEN,0457_003,2012130,6/13/14,33005,0.7833,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
332,LINDE LINE S.L.,23650,TORRE DON JIMENO,SGS,JAEN,0457_003,2012131,6/12/14,33005,0.9333,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0441a,LINDE LINE S.L.,23600,MARTOS,SGS,JAEN,0457_003,2012132,6/12/14,33005,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
844,LINDE LINE S.L.,23710,BAILEN,SGS,JAEN,0457_003,2012133,6/13/14,33005,0.9333,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
887,PHONOCENTER SHOP 2006 SL,23100,JODAR,SGS,JAEN,0457_003,2012134,6/13/14,33005,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
37,COPENHAGUE,99999,Copenhague,SGS,EXTRANJERO,0052_001,2012158,6/14/14,HOSS_DE,0.5362,Check_Hoss_Intropia
675,GA.ARTEIXO 2,15142,ARTEIXO,SGS,A CORUÑA,0045_001,2012195,6/13/14,R00004,0.903,Cuestionario Gadis nuevas ponderaciones
0693a,VISASUR TELECOMUNICACIONES S.L,11408,Jerez de la Frontera,SGS,CADIZ,0457_003,2012197,6/10/14,32670,0.95,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0937a,VISASUR TELECOMUNICACIONES S.L,11510,PUERTO REAL,SGS,CADIZ,0457_003,2012198,6/12/14,73,0.85,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0930a,VISASUR TELECOMUNICACIONES S.L,11130,CHICLANA,SGS,CADIZ,0457_003,2012199,6/11/14,73,1,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
