COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
12,MUCHAS BOIRO,15930,Boiro,901,A CORUÑA,0267_001,1938117,1/16/14,R29407,0.9513,Nuevo cuestionario Mucha's
17,MUCHAS CARBALLIÑO,32500,Carballiño,901,ORENSE,0267_001,1938118,1/10/14,33466,0.8351,Nuevo cuestionario Mucha's
21,MUCHAS BUEU,36930,Bueu,901,PONTEVEDRA,0267_001,1938119,1/10/14,29100,0.8958,Nuevo cuestionario Mucha's
31,MUCHAS VIGO I,36202,Vigo,901,PONTEVEDRA,0267_001,1938120,1/21/14,34161,0.7625,Nuevo cuestionario Mucha's
34,MUCHAS REDONDELA,36800,Redondela,901,PONTEVEDRA,0267_001,1938121,1/23/14,34161,0.6069,Nuevo cuestionario Mucha's
37,MUCHAS VIGO II,36210,Vigo,901,PONTEVEDRA,0267_001,1938122,1/22/14,R00004,0.5078,Nuevo cuestionario Mucha's
38,MUCHAS PONTEVEDRA II,36001,Pontevedra,901,PONTEVEDRA,0267_001,1938123,1/10/14,29100,0.8891,Nuevo cuestionario Mucha's
8,MUCHAS ÓRDENES,15680,Órdenes,901,A CORUÑA,0267_001,1938124,1/20/14,33900,0.8395,Nuevo cuestionario Mucha's
21,BCN-ROMA,8000,BARCELONA,901,BARCELONA,0377_001,1944559,1/13/14,149,0.7176,Vueling_Mystery Passenger 2013
22,ROMA-BCN,8000,BARCELONA,901,BARCELONA,0377_001,1944560,1/13/14,149,0.6805,Vueling_Mystery Passenger 2013
35,BARCELONA- FLORENCIA,8000,BARCELONA,901,BARCELONA,0377_001,1944561,1/7/14,2299,0.8351,Vueling_Mystery Passenger 2013
36,FLORENCIA - BARCELONA,8000,BARCELONA,901,BARCELONA,0377_001,1944562,1/7/14,2299,0.8125,Vueling_Mystery Passenger 2013
67,BARCELONA -LONDRES,8000,BARCELONA,901,BARCELONA,0377_001,1944563,1/23/14,29667,0.8596,Vueling_Mystery Passenger 2013
68,LONDRES-BARCELONA,8000,BARCELONA,901,BARCELONA,0377_001,1944564,1/26/14,29667,0.8228,Vueling_Mystery Passenger 2013
73,BARCELONA -MADRID,8000,BARCELONA,901,BARCELONA,0377_001,1944565,1/24/14,149,0.7748,Vueling_Mystery Passenger 2013
74,MADRID-BARCELONA,8000,BARCELONA,901,BARCELONA,0377_001,1944566,1/24/14,149,0.8178,Vueling_Mystery Passenger 2013
75,BARCELONA - MILAN,8000,BARCELONA,901,BARCELONA,0377_001,1944567,1/30/14,33663,0.8444,Vueling_Mystery Passenger 2013
76,MILAN - BARCELONA,8000,BARCELONA,901,BARCELONA,0377_001,1944568,1/30/14,33663,0.891,Vueling_Mystery Passenger 2013
77,BARCELONA- LISBOA,8000,BARCELONA,901,BARCELONA,0377_001,1944569,1/29/14,33663,0.8853,Vueling_Mystery Passenger 2013
78,LISBOA- BARCELONA,8000,BARCELONA,901,BARCELONA,0377_001,1944570,1/29/14,33663,0.8972,Vueling_Mystery Passenger 2013
29,BCN-LA CORUÑA,8000,BARCELONA,901,BARCELONA,0377_001,1944800,1/15/14,2299,0.8465,Vueling_Mystery Passenger 2013
30,LA CORUÑA-BCN,8000,BARCELONA,901,BARCELONA,0377_001,1944802,1/15/14,2299,0.9158,Vueling_Mystery Passenger 2013
HM_300,IKEA ALCORCON,28925,Alcorcón,901,MADRID,IKEA_HM,1945178,1/16/14,c_heras,0.931,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_301,IKEA ASTURIAS,33429,Paredes-Siero,901,ASTURIAS,IKEA_HM,1945179,1/29/14,MAIDER_L,0.951,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_302,IKEA BADALONA,8917,Badalona,901,BARCELONA,IKEA_HM,1945180,1/15/14,M_CASTANO,0.945,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_303,IKEA HOSPITALET,8907,L'Hospitalet de Llobregat,901,BARCELONA,IKEA_HM,1945181,1/20/14,M_CASTANO,0.945,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_304,IKEA MADRID ESTE,28051,Madrid,901,MADRID,IKEA_HM,1945182,1/21/14,c_heras,0.949,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_305,IKEA MALAGA,29004,Málaga,901,MALAGA,IKEA_HM,1945183,1/22/14,jesus_cano,0.94,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_306,IKEA MURCIA,30110,Churra,901,MURCIA,IKEA_HM,1945184,1/21/14,S_GARCIAHU,0.98,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_307,IKEA SEVILLA,41950,Castilleja de la Cuesta,901,SEVILLA,IKEA_HM,1945185,1/21/14,ALMU_REYES,0.953,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_308,IKEA SAN SEBASTIÁN DE LOS REYES,28700,San Sebastián de los Reyes,901,MADRID,IKEA_HM,1945186,1/9/14,c_heras,0.955,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_309,IKEA ZARAGOZA,50007,Zaragoza,901,ZARAGOZA,IKEA_HM,1945187,1/22/14,M_CASTANO,0.951,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_310,IKEA JEREZ,11408,Jerez de la Frontera,901,CADIZ,IKEA_HM,1945188,1/14/14,ALMU_REYES,0.945,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_311,IKEA A CORUÑA,15008,A Coruña,901,A CORUÑA,IKEA_HM,1945189,1/21/14,C_MBRITO,0.951,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_312,IKEA VALLADOLID,47195,Arroyo de la Encomienda,901,VALLADOLID,IKEA_HM,1945190,1/28/14,c_heras,0.957,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_313,IKEA SABADELL,8205,Sabadell,901,BARCELONA,IKEA_HM,1945191,1/13/14,M_CASTANO,0.94,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_314,IKEA BARAKALDO,48903,Barakaldo,901,VIZCAYA,IKEA_HM,1945192,1/23/14,J_ZUBIAUR,0.968,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1,RESIDENCIA EL MARISCAL,28033,Madrid,901,MADRID,MARISCAL,1945521,1/29/14,d_vega,0.7811,AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
CA1,Hospital Universitario del Sagrado Corazón,8029,Barcelona,901,BARCELONA,CAPIO,1945522,1/21/14,M_CASTANO,0.8911,AUDITORIA SEGURIDAD ALIMENTARIA
CA2,Hospital General de Cataluña,8190,San Cugat del Vallés,901,BARCELONA,CAPIO,1945523,1/23/14,M_CASTANO,0.7719,AUDITORIA SEGURIDAD ALIMENTARIA
CA3,Clínica del Vallés,8203,Sabadell,901,BARCELONA,CAPIO,1945524,1/16/14,M_CASTANO,0.8669,AUDITORIA SEGURIDAD ALIMENTARIA
CA4,Clínica de C. Real,13002,Ciudad Real,901,CIUDAD REAL,CAPIO,1945525,1/20/14,c_heras,0.7899,AUDITORIA SEGURIDAD ALIMENTARIA
CA5,Hospital Universitario Infanta Elena,28340,Valdemoro,901,MADRID,CAPIO,1945526,1/8/14,c_heras,0.8256,AUDITORIA SEGURIDAD ALIMENTARIA
CA6,Hospital Rey Juan Carlos,28933,Móstoles,901,MADRID,CAPIO,1945527,1/30/14,c_heras,0.7734,AUDITORIA SEGURIDAD ALIMENTARIA
CA7,Fundación Jimenez Díaz UTE,28040,Madrid,901,MADRID,CAPIO,1945528,1/15/14,c_heras,0.5329,AUDITORIA SEGURIDAD ALIMENTARIA
0006a,"DITELE SPAIN, S.L.U",46011,VALENCIA,901,VALENCIA,0457_003,1945655,1/7/14,30948,0.7883,MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
100,"FRAN  FUS, S.L.",46800,XÁTIVA,901,VALENCIA,0457_003,1945656,1/17/14,33427,0.9517,MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
